codigo_mun,censo,blancos,nulos,candidaturas,part,partido,votos,votos_pc
01004,1356,3,9,995,74.26253687315634,PSOE,134,13.42685370741483
01004,1356,3,9,995,74.26253687315634,UP,170,17.034068136272545
01004,1356,3,9,995,74.26253687315634,VOX,20,2.004008016032064
01006,176,2,0,125,72.1590909090909,Bildu,8,6.299212598425197
01006,176,2,0,125,72.1590909090909,Cs,11,8.661417322834646
01006,176,2,0,125,72.1590909090909,OTROS,6,4.724409448818897
01006,176,2,0,125,72.1590909090909,PNV,21,16.53543307086614
01006,176,2,0,125,72.1590909090909,PP,18,14.173228346456693
01006,176,2,0,125,72.1590909090909,PSOE,21,16.53543307086614
01006,176,2,0,125,72.1590909090909,UP,27,21.25984251968504
01006,176,2,0,125,72.1590909090909,VOX,13,10.236220472440944
01008,802,3,6,567,71.82044887780549,Bildu,116,20.350877192982455
01008,802,3,6,567,71.82044887780549,Cs,24,4.2105263157894735
01008,802,3,6,567,71.82044887780549,OTROS,11,1.9298245614035088
01008,802,3,6,567,71.82044887780549,PNV,164,28.771929824561404
01008,802,3,6,567,71.82044887780549,PP,81,14.210526315789474
01008,802,3,6,567,71.82044887780549,PSOE,89,15.614035087719298
01008,802,3,6,567,71.82044887780549,UP,71,12.456140350877194
01008,802,3,6,567,71.82044887780549,VOX,11,1.9298245614035088
01009,1265,6,6,908,72.72727272727273,Bildu,325,35.55798687089715
01009,1265,6,6,908,72.72727272727273,Cs,7,0.7658643326039387
01009,1265,6,6,908,72.72727272727273,OTROS,15,1.6411378555798688
01009,1265,6,6,908,72.72727272727273,PNV,244,26.695842450765863
01009,1265,6,6,908,72.72727272727273,PP,28,3.063457330415755
01009,1265,6,6,908,72.72727272727273,PSOE,113,12.36323851203501
01009,1265,6,6,908,72.72727272727273,UP,163,17.833698030634572
01009,1265,6,6,908,72.72727272727273,VOX,13,1.4223194748358863
01010,2315,14,19,1756,77.27861771058315,Bildu,354,20
01010,2315,14,19,1756,77.27861771058315,Cs,23,1.2994350282485876
01010,2315,14,19,1756,77.27861771058315,OTROS,19,1.073446327683616
01010,2315,14,19,1756,77.27861771058315,PNV,741,41.86440677966102
01010,2315,14,19,1756,77.27861771058315,PP,110,6.214689265536723
01010,2315,14,19,1756,77.27861771058315,PSOE,196,11.073446327683616
01010,2315,14,19,1756,77.27861771058315,UP,278,15.706214689265536
01010,2315,14,19,1756,77.27861771058315,VOX,35,1.9774011299435028
01011,215,3,4,172,83.25581395348837,Bildu,2,1.1428571428571428
01011,215,3,4,172,83.25581395348837,Cs,12,6.857142857142857
01011,215,3,4,172,83.25581395348837,OTROS,0,0
01011,215,3,4,172,83.25581395348837,PNV,64,36.57142857142857
01011,215,3,4,172,83.25581395348837,PP,50,28.571428571428573
01011,215,3,4,172,83.25581395348837,PSOE,29,16.571428571428573
01011,215,3,4,172,83.25581395348837,UP,7,4
01011,215,3,4,172,83.25581395348837,VOX,8,4.571428571428571
01013,703,2,4,485,69.84352773826458,Bildu,161,33.059548254620125
01013,703,2,4,485,69.84352773826458,Cs,5,1.0266940451745379
01013,703,2,4,485,69.84352773826458,OTROS,4,0.8213552361396304
01013,703,2,4,485,69.84352773826458,PNV,152,31.211498973305954
01013,703,2,4,485,69.84352773826458,PP,37,7.597535934291581
01013,703,2,4,485,69.84352773826458,PSOE,52,10.677618069815194
01013,703,2,4,485,69.84352773826458,UP,72,14.784394250513348
01013,703,2,4,485,69.84352773826458,VOX,2,0.4106776180698152
01014,366,7,6,270,77.3224043715847,Bildu,25,9.025270758122744
