cmun,pob_total,pob_ext
02024,4522,0.11233967271118973
02025,10003,0.09467159852044386
02026,1182,0.1598984771573604
02029,4182,0.047345767575322814
02027,330,0.01818181818181818
02028,128,0.0234375
02030,3624,0.01793598233995585
02031,674,0.03857566765578635
02032,297,0.05387205387205387
02033,2489,0.1092808356769787
02034,1816,0.13105726872246695
02035,2448,0.05555555555555555
02036,110,0.05454545454545454
02037,30268,0.07331174838112858
02038,349,0.15472779369627507
02039,1184,0.03800675675675676
02040,621,0.027375201288244767
02041,360,0.005555555555555556
02042,928,0.014008620689655173
02043,1398,0.046494992846924176
02044,1200,0.010833333333333334
02045,4665,0.06902465166130761
02046,1359,0.05077262693156733
02047,113,0
02048,1537,0.11515940143135979
02049,840,0.015476190476190477
02050,96,0.010416666666666666
02051,2042,0.06072477962781587
02052,548,0.058394160583941604
02053,3513,0.018502704241389126
02054,518,0.1776061776061776
02055,1222,0.008183306055646482
02056,2028,0.04240631163708087
02057,2352,0.02806122448979592
02058,360,0.025
02060,1420,0.01267605633802817
02059,331,0.00906344410876133
02061,696,0.03735632183908046
02062,446,0.020179372197309416
02901,2786,0.03338119167264896
02063,1635,0.025688073394495414
02064,401,0.02493765586034913
02065,489,0.002044989775051125
02066,254,0.03543307086614173
02067,1357,0.025792188651436992
02068,363,0.01652892561983471
02069,15515,0.10602642603931679
02070,501,0.10778443113772455
02071,1153,0.05030355594102342
02072,1790,0.0329608938547486
02073,6255,0.06698641087130296
02074,7738,0.10377358490566038
02075,1943,0.032938754503345345
02076,355,0
02077,57,0
02078,1115,0.053811659192825115
02079,4112,0.17825875486381323
02080,589,0.06112054329371817
02081,25241,0.11089101065726398
02082,95,0.010526315789473684
02083,226,0.008849557522123894
02084,340,0.029411764705882353
02085,340,0.026470588235294117
02086,2674,0.0074794315632011965
03002,4713,0.07617228941226395
03003,551,0.06352087114337568
03004,936,0.2361111111111111
03005,12042,0.18377345955821292
03006,1298,0.5585516178736518
03007,229,0.1703056768558952
03008,180,0.022222222222222223
03009,58977,0.05647964460721976
03010,407,0.04668304668304668
03011,20053,0.5076048471550392
03012,2838,0.5042283298097252
03013,1341,0.048471290082028336
03014,331577,0.12759027314922325
03015,20542,0.21784636354785317
03016,104,0.08653846153846154
03017,491,0.0855397148676171
03018,21995,0.31848147306205954
03019,20537,0.06325169206797487
03001,661,0.42208774583963693
03020,122,0.1721311475409836
03021,7113,0.04555040067482075
03022,156,0.038461538461538464
03023,1703,0.05637110980622431
03024,5361,0.12143256855064354
03025,1940,0.16082474226804125
03026,1983,0.2168431669188099
03027,178,0.12921348314606743
03028,1118,0.04293381037567084
03030,1110,0.4099099099099099
03031,67558,0.27083395008733235
03032,108,0
03033,149,0.10738255033557047
03029,444,0.41216216216216217
03034,3357,0.4828716115579386
03035,742,0.04716981132075472
03036,94,0.010638297872340425
03037,490,0.1836734693877551
03038,413,0.07506053268765134
03039,96,0.13541666666666666
03040,410,0.26097560975609757
03041,10768,0.3148216939078752
03042,4130,0.5876513317191283
03043,3651,0.033141605039715145
03044,6702,0.1602506714413608
03045,418,0.4473684210526316
03046,2925,0.3117948717948718
03049,18864,0.1990033927056828
03048,7257,0.1737632630563594
03047,21633,0.4534738593815005
03050,27893,0.16459326712795325
03051,428,0.06074766355140187
03052,1214,0.03212520593080725
03053,9880,0.10364372469635627
03054,435,0.1724137931034483
03075,209,0.24880382775119617
03055,8631,0.22859460085737457
03056,11456,0.11155726256983241
03057,208,0.16826923076923078
03058,7226,0.15817879878217547
03059,28957,0.11731187623027248
03061,1718,0.2648428405122235
03062,685,0.6277372262773723
03063,41733,0.20875566098770756
03064,7383,0.16077475281051062
03065,230625,0.09892249322493225
03066,52404,0.0441187695595756
03067,101,0.0297029702970297
03068,53,0.11320754716981132
03069,6381,0.3811314840934023
03077,2474,0.3516572352465643
03070,4131,0.3766642459452917
03072,471,0.09766454352441614
03071,5893,0.1844561343967419
03073,258,0.050387596899224806
03074,2489,0.15588589795098434
03076,15058,0.2997742064019126
03078,1132,0.5
03079,23403,0.051574584454984404
03080,1986,0.1973816717019134
03082,27224,0.4193726124008228
03083,6875,0.05352727272727273
03085,1051,0.6936251189343482
03084,596,0.05201342281879195
03086,229,0.25327510917030566
03088,7944,0.10309667673716012
03089,12175,0.06119096509240246
03903,4844,0.3499174236168456
03091,493,0.4198782961460446
03092,9328,0.11320754716981132
03090,25009,0.10664160902075252
03093,25725,0.07043731778425656
03094,18242,0.34102620326718563
03095,6815,0.1467351430667645
03096,7475,0.0634113712374582
03097,2111,0.4268119374703932
03099,76778,0.3166011096928808
03098,738,0.2127371273712737
03100,908,0.3744493392070485
03101,7490,0.21214953271028036
03102,10052,0.14783127735773977
03103,301,0.04318936877076412
03104,34479,0.025725804112648278
03902,21418,0.3818283686618732
03105,7845,0.14722753346080306
03106,713,0.10659186535764376
03901,2864,0.5422486033519553
03107,4850,0.30536082474226806
03060,121,0.09090909090909091
03109,4418,0.15482118605703937
03110,644,0.41304347826086957
03111,7797,0.12094395280235988
03112,1147,0.3836094158674804
03113,16560,0.681340579710145
03114,2376,0.2074915824915825
03115,389,0.2879177377892031
03116,1585,0.13249211356466878
03118,7943,0.634143270804482
03904,1933,0.1107087428867046
03120,5811,0.4937188091550508
03122,57785,0.06075971272821667
03117,648,0.33024691358024694
03119,23518,0.10268730334212092
03121,31745,0.16131674279414082
03123,9771,0.056493705864292296
03124,585,0.11282051282051282
03125,581,0.30120481927710846
03127,627,0.3700159489633174
03128,10722,0.514829322887521
03129,1564,0.10997442455242967
03130,56,0.17857142857142858
03131,336,0.375
03132,654,0.15749235474006115
03133,82599,0.3878134117846463
03134,164,0.07926829268292683
03136,589,0.2037351443123939
03137,820,0.12926829268292683
03135,224,0.08035714285714286
03138,4520,0.16792035398230087
03139,33969,0.1869940239630251
03140,33983,0.05979460318394492
03081,2683,0.33991800223630264
04001,1235,0.06882591093117409
04002,1150,0.0408695652173913
04003,24859,0.12888692224144174
04004,753,0.3851261620185923
04005,621,0.02254428341384863
04006,11696,0.265389876880985
04007,814,0.014742014742014743
04008,528,0.054924242424242424
04009,135,0.007407407407407408
04010,648,0.020061728395061727
04011,3615,0.07302904564315353
04012,212,0.009433962264150943
04013,196851,0.09969469294034575
04014,176,0.056818181818181816
04015,133,0.045112781954887216
04016,3169,0.19469864310508048
04017,4586,0.6659398168338422
04018,321,0.06542056074766354
04019,232,0.008620689655172414
04904,2933,0.2386634844868735
04020,284,0.028169014084507043
04021,206,0.07281553398058252
04022,927,0.5631067961165048
04023,117,0
04024,4357,0.04865733302731237
04026,68,0.014705882352941176
04027,248,0.056451612903225805
04028,243,0.00823045267489712
04029,12381,0.11889185041595994
04030,1202,0.018302828618968387
04031,3228,0.17874845105328377
04032,7757,0.10235915946886683
04033,121,0.04132231404958678
04036,283,0.0989399293286219
04037,1525,0.058360655737704915
04034,143,0.02097902097902098
04035,13776,0.23301393728222997
04038,4031,0.06450012403870008
04902,84710,0.30936135048990676
04041,418,0.16028708133971292
04043,642,0.08411214953271028
04044,1992,0.08333333333333333
04045,1992,0.025100401606425703
04046,975,0.029743589743589743
04047,3027,0.08589362405021474
04048,2803,0.3521227256510881
04049,8838,0.22143018782529983
04050,1031,0.15227934044616878
04051,486,0.024691358024691357
04052,17418,0.026466873349408657
04053,18816,0.17846513605442177
04054,390,0.03333333333333333
04055,429,0.04895104895104895
04056,169,0.023668639053254437
04057,1538,0.02080624187256177
04058,390,0.046153846153846156
04059,1431,0.20614954577218728
04060,546,0.14652014652014653
04061,766,0.06135770234986945
04062,5539,0.035746524643437444
04063,1261,0.04520222045995242
04064,6301,0.46119663545468975
04903,9003,0.3915361546151283
04065,460,0.1782608695652174
04066,30122,0.4383175087975566
04067,596,0.018456375838926176
04068,180,0.07777777777777778
04069,6212,0.07131358660656793
04070,2238,0.2256478999106345
04071,419,0.026252983293556086
04072,1055,0.6729857819905213
04073,362,0.027624309392265192
04074,4018,0.07914385266301642
04075,9502,0.2838349821090297
04076,1621,0.08451573103022826
04077,304,0.006578947368421052
04078,1364,0.047653958944281524
04079,94925,0.2682644192783777
04080,218,0.05963302752293578
04081,432,0.0763888888888889
04082,300,0.05333333333333334
04083,2035,0.030466830466830467
04084,393,0.030534351145038167
04085,463,0.09287257019438445
04086,2389,0.17413143574717455
04087,217,0.17050691244239632
04088,3704,0.22786177105831534
04089,963,0.15680166147455868
04090,324,0.12037037037037036
04091,381,0.06561679790026247
04092,3569,0.04230876996357523
04901,570,0.06666666666666667
04093,3384,0.30939716312056736
04094,233,0.10300429184549356
04095,836,0.09449760765550239
04096,329,0.13677811550151975
04097,253,0.015810276679841896
04098,1938,0.13519091847265222
04099,6630,0.11945701357466064
04100,15837,0.24228073498768707
04101,5791,0.053704023484717665
04102,25405,0.2893524896673883
04103,2893,0.40096785343933633
05001,202,0.054455445544554455
05002,2517,0.08462455303933254
05005,190,0
05007,119,0.01680672268907563
05008,233,0.02145922746781116
05010,168,0.02976190476190476
05012,135,0
05013,972,0.05555555555555555
05014,6454,0.04384877595289743
05015,75,0
05016,8069,0.03779898376502665
05017,86,0
05018,26,0.07692307692307693
05019,57657,0.06724248573460291
05021,2368,0.05912162162162162
05022,1889,0.04393859184753838
05023,186,0
05024,206,0
05025,90,0
05026,199,0.05025125628140704
05027,323,0.09907120743034056
05029,108,0
05030,43,0
05033,193,0.0051813471502590676
05034,16,0.125
05035,114,0.017543859649122806
05036,126,0.015873015873015872
05037,248,0.012096774193548387
05038,120,0.008333333333333333
05039,44,0
05040,65,0.03076923076923077
05041,1196,0.056856187290969896
05042,157,0.025477707006369428
05043,84,0
05044,275,0.014545454545454545
05045,82,0
05046,48,0
05047,4998,0.04541816726690676
05048,112,0
05049,452,0.022123893805309734
05051,181,0.0055248618784530384
05052,92,0.010869565217391304
05053,84,0
05054,1429,0.03498950314905528
05055,637,0.06593406593406594
05056,95,0.010526315789473684
05057,3056,0.08344240837696335
05058,76,0
05067,79,0
05059,100,0
05060,109,0
05061,329,0.030395136778115502
05062,179,0.00558659217877095
05063,32,0
05064,106,0.018867924528301886
05065,496,0.024193548387096774
05066,491,0
05903,147,0.006802721088435374
05069,79,0.012658227848101266
05070,33,0.15151515151515152
05072,106,0.02830188679245283
05073,307,0.016286644951140065
05074,751,0.014647137150466045
05075,121,0.04132231404958678
05076,601,0.028286189683860232
05077,165,0.012121212121212121
05078,105,0.01904761904761905
05079,63,0
05080,43,0
05081,40,0
05082,587,0.03747870528109029
05083,155,0.03870967741935484
05085,36,0
05084,68,0
05086,77,0
05087,161,0.006211180124223602
05088,31,0
05089,511,0.007827788649706457
05090,78,0
05092,169,0.029585798816568046
05093,405,0.1308641975308642
05094,135,0
05095,267,0.033707865168539325
05096,78,0.02564102564102564
05097,518,0.007722007722007722
05099,512,0.009765625
05100,295,0.01694915254237288
05102,2164,0.07024029574861368
05101,290,0.020689655172413793
05103,67,0
05106,29,0
05104,34,0
05105,363,0.011019283746556474
05107,54,0
05108,40,0
05109,487,0
05110,844,0.058056872037914695
05113,64,0.015625
05112,110,0.01818181818181818
05114,1440,0.015277777777777777
05115,596,0.07046979865771812
05116,102,0.00980392156862745
05117,208,0
05118,74,0
05119,27,0
05120,31,0.03225806451612903
05121,317,0.00946372239747634
05122,122,0.02459016393442623
05123,105,0.009523809523809525
05124,99,0.030303030303030304
05125,61,0
05126,60,0.03333333333333333
05127,704,0.02556818181818182
05128,395,0.030379746835443037
05129,124,0.04838709677419355
05130,95,0
05131,92,0
05132,1006,0.017892644135188866
05133,73,0
05134,50,0
05135,394,0.03299492385786802
05136,94,0
05138,334,0.03592814371257485
05139,67,0.04477611940298507
05140,128,0.03125
05141,103,0.019417475728155338
05142,96,0.010416666666666666
05143,62,0.04838709677419355
05144,77,0.012987012987012988
05145,50,0
05149,101,0.019801980198019802
05147,161,0.006211180124223602
05148,22,0
05152,753,0.03054448871181939
05153,93,0
